[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.277478 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:15_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.278475 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[1], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[5], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[6], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[9], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[10], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[11], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[12], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-ROW] Type:scanner | OrigDT:2026-05-22 16:16:05 | InsertDT:2026-05-22 16:16:00 | Chamber:[15], referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.279471 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_10 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_11 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_12 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_15 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.280469 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_1 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.281466 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_5 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.281466 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_6 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
[Fri May 22 17:31:16.281466 2026] [php7:notice] [pid 17376:tid 1148] [client 192.168.14.248:58087] [17:31:16] [CSV-DEDUP] Already seen: 2026-05-22 16:16_9 \xe2\x80\x94 skipping, referer: http://192.168.14.248/daas4.1/modbus/
